data,source,location,encrypted,browser,server,ttl,delete_path,loggable,authority,products,risk,evidence
applicant_name_fields,user_input+OCR,localStorage key 'wizard:tps-ukraine:v3:state',no,localStorage,none,yes(savedAt+isDraftExpired),removeItem on completion+expiry,no(sanitized;no console.log of values),client,tps,P2,"TPSWizardV2.tsx:1848 writes sanitizeFieldMapForStorage('tps',...); allowlist value/requires_review/doc_slot only; PR120 live"
applicant_personal_fields,user_input,localStorage 'wizard:tps-ukraine:personal:v1',no,localStorage,server-if-ledger-ON,server:24h expires_at / browser:none,Clear-my-data button + ledger DELETE,no,client,tps(GeneratePacketBlock-DEAD),P3,"GeneratePacketBlock.tsx:819 update() — but component has 0 importers (orphan); not in live path"
part7_background_declaration,user_input,localStorage 'wizard:tps-ukraine:part7:v1',no,localStorage,server-if-ledger-ON,none(browser),Clear-my-data,no,client,tps(orphan block),P3,"GeneratePacketBlock.tsx:834; orphaned component"
legal_risk_flags(3 booleans),user_input,localStorage 'tps:legal-risk:v1',no,localStorage,none,none,Clear-my-data,no,client,tps,P3,"GeneratePacketBlock.tsx:752; non-PII booleans per code comment; orphan component anyway"
attestation_timestamp,user_action,localStorage 'tps:attest:v1',no,localStorage,none,none,removeItem,no,client,tps,P3,"GeneratePacketBlock.tsx:711; timestamp only, not PII"
reparole_field_values(name/dob/addr),user_input+OCR,localStorage 'wizard:re-parole-u4u:v3:state',no,localStorage,none(NO ledger),yes(isDraftExpired savedAt),removeItem on completion,no(sanitized),client,reparole,P2,"ReparoleWizardV2.tsx:570 sanitizeFieldMapForStorage('reparole'); NOT ledger-wired; PR120 minimization live"
raw_cyrillic(source values),OCR,localStorage translation wizard state,no,localStorage,none(NO ledger),yes(TTL),removeItem on completion,no,client,translation,P2,"persistedDraftPolicy ALLOWED_FIELD_KEYS.translation includes raw_cyrillic (documented carriage exception, PII REMAINS in browser per policy comment L62-63)"
translation_pending_session,user_input,localStorage 'translation_pending',no,localStorage,none,n/a(payment round-trip),removeItem post-restore,no,client,translation,P3,"checkout/success/page.tsx:125-186; cleared after restore"
wizard_draft_PII(names/dob/addr/raw_cyrillic),user_input+OCR,Supabase public.wizard_drafts (prod),yes(AES-256-GCM),none(opaque token cookie only),DB(ciphertext),24h expires_at + cron cleanup,DELETE /api/wizard-draft + clearServerDraft,no(never logs draft/token),server(service-role),tps(intended;not live),P2,"wizardDraftCrypto.ts AES-256-GCM; migration 20260614010000 applied; PROD: 0 rows, route 404 (flag OFF); NOT_WIRED to live wizard"
wizard_draft_token,server,httpOnly cookie 'wizard_draft_token',n/a(opaque random 32B),cookie(httpOnly+secure+sameSite=lax),none,maxAge 86400,DELETE clears cookie,no,server,tps,P3,"route.ts:55; opaque, no PII"
admin_session_secret,operator,httpOnly cookie 'admin_session',n/a,cookie,env ADMIN_SECRET compare,session,logout,no,server,admin,P2,"adminAuth.ts; shared single secret (no per-operator identity); === compare not timing-safe"
manual_review_queue.contact_email,client(unauth body),Supabase manual_review_queue,no,none,DB,expires_at(ticket),n/a,no,server,translation,P2,"client-writable (NOT trusted); recipient RE-VERIFIED via Stripe at send (legacyOperatorAuth.resolveVerifiedRecipient); masked in UI"
manual_review_queue.translated_fields,operator,Supabase manual_review_queue,no,none,DB,ticket TTL,n/a,no,server,translation,P3,"actions.ts:82; operator-written post-auth"
verified_recipient_email,Stripe,server-only(send time),no,none,Stripe session,n/a,n/a,no(never logged per PII rule),server(Stripe),translation,P2,"resolveVerifiedRecipient; server-authoritative; form/ticket address ignored"
ocr_extracted_field_values,OCR pipeline,Supabase extracted_fields/tps_ocr_audit,no,none,DB,per-table,n/a,no,server,all,P2,"server-side OCR audit tables; out of this slice's deep scope (Agent-scoped to ledger/forms)"
