id,bad_claim,spread,source_of_misinformation,truth,truth_source_url,truth_source_title,risk_if_believed,product_mitigation,service_pages_to_warn,last_verified
tps-extension-equals-ead-extension,"TPS extended to October 2026 so my EAD is valid until October",very_high,Confused community + recycled assumptions,"TPS Ukraine designation extends to October 19 2026 BUT EAD auto-extension is capped at July 22 2026.",https://www.federalregister.gov/documents/2025/01/17/2025-00771/,Federal Register 90 FR 5936,Working on expired EAD after July 22 → I-9 reverification → job loss,Banner on TPS page + employer letter template + push notification,tps-ukraine|ead-work-permit,2026-04-30
work-on-reparole-without-ead,"You can work on re-parole without an EAD",very_high,ChatGPT + community forums,Re-parole grants presence authorization only. Work requires separate I-765 EAD approval.,https://www.ecfr.gov/current/title-8/chapter-I/subchapter-B/part-274a/subpart-B/section-274a.12,8 CFR 274a.12 EAD categories,Working without authorization → criminal record + immigration consequences,'Can I work right now?' eligibility checker by parole category + disclaimer on every relevant page,ead-work-permit|parole-expires-soon|re-parole-u4u,2026-04-30
reparole-form-only-sufficient,"Just file the I-131 form for re-parole no extra evidence needed",high,Outdated 2023 advice still circulating,Since August 2025 USCIS requires personal evidence (medical/family/employment) for re-parole approval.,https://www.uscis.gov/humanitarian/uniting-for-ukraine,USCIS Uniting for Ukraine page,Form-only filing → denial → loss of legal status,Re-parole evidence builder + Aug 2025 policy alert,re-parole-u4u|parole-expires-soon,2026-04-30
chatgpt-immigration-advice-reliable,"ChatGPT can give accurate USCIS advice",very_high,Direct ChatGPT use without verification,LLMs frequently hallucinate USCIS rules. Always verify against official USCIS sources.,https://www.uscis.gov/,USCIS official site,Following hallucinated advice → wrong filings → denials,Always cite Tier 1 source URL on every answer + warning banner,form-draft-helper|ead-work-permit|tps-ukraine,2026-04-30
tps-leads-to-green-card-automatic,"After 5 years on TPS you get a green card",high,Confused with other immigration paths,TPS does not lead directly to green card. Requires separate qualifying path (employment/family/asylum).,https://www.uscis.gov/humanitarian/temporary-protected-status,USCIS TPS landing,Wasted time waiting for non-existent path → expired status,Status transition planning tool + TPS-to-asylum timeline,tps-ukraine,2026-04-30
tps-allows-international-travel,"TPS lets you travel like any visa",medium,Confusion with visa categories,TPS does not include travel authorization. Leaving US without Advance Parole = TPS abandonment.,https://www.uscis.gov/humanitarian/temporary-protected-status,USCIS TPS landing,Travel = lose TPS = barred from reentry,Travel decision tree for TPS holders,tps-ukraine|i-94,2026-04-30
contact-center-rep-final-authority,"USCIS Contact Center rep said X so it's official",high,Direct calls to USCIS Contact Center,USCIS Contact Center reps frequently give incorrect info. Only written USCIS publications are authoritative.,https://www.uscis.gov/contactcenter,USCIS Contact Center page,Acting on bad info → wrong filings,Contact Center quote verification guide,uscis-case-status,2026-04-30
receipt-equals-approval,"Once I get a receipt I'm approved or my status is extended",high,Hopeful misreading of receipt notice,Receipt = USCIS received your filing only. Adjudication separate. Status extension depends on filing date vs prior expiry.,https://www.uscis.gov/forms/filing-fees/forms-and-fees,USCIS filing process page,Working / traveling assuming approval → unauthorized presence,Receipt vs approval explainer + state-of-presence calculator,uscis-case-status|parole-expires-soon|re-parole-u4u,2026-04-30
asylum-can-file-anytime,"You can file asylum at any time during your stay",high,Misunderstanding of TPS/parole exceptions,I-589 must be filed within 1 year of last arrival in US (limited exceptions exist).,https://www.uscis.gov/i-589,USCIS Form I-589,Missing 1-year deadline → asylum barred,Asylum eligibility timeline + 1-year deadline alert,form-draft-helper,2026-04-30
ar11-not-required-for-active-cases,"AR-11 is optional if you have an active USCIS case",medium,Confused with online account update,AR-11 required within 10 days of any move (8 USC 1305) regardless of case status.,https://www.uscis.gov/ar-11,USCIS Form AR-11,Failure → potential criminal misdemeanor + deportation grounds,AR-11 deadline calculator + filing reminder,form-draft-helper,2026-04-30
sponsor-can-cancel-i864,"Sponsor can cancel I-864 affidavit of support at any time",medium,Sponsor abuse pattern,I-864 is enforceable contract. Sponsors face legal consequences for abandonment.,https://www.uscis.gov/i-864,USCIS Form I-864,Sponsor abuse + financial abandonment,Sponsor obligation enforcement guide,parole-expires-soon,2026-04-30
fee-waiver-after-payment,"You can request fee waiver after paying",low,Misunderstanding of waiver rules,USCIS does not refund fees retroactively. I-912 must accompany fee-bearing form.,https://www.uscis.gov/i-912,USCIS Form I-912,Lost money + delays,Fee waiver process explainer,re-parole-u4u|ead-work-permit|tps-ukraine,2026-04-30
i94-missing-means-illegal,"If you can't find your I-94 you must be undocumented",low,Panic + misinformation,Most I-94s are electronic at i94.cbp.dhs.gov. Paper I-94s rare today.,https://i94.cbp.dhs.gov/,CBP I-94 portal,Unnecessary panic + paying for unneeded services,I-94 retrieval guide,i-94,2026-04-30
self-translation-always-rejected,"USCIS always rejects self-translated documents",medium,Conservative community advice,USCIS accepts translations meeting 8 CFR 103.2(b)(3) certification standard. Self-translation possible but riskier.,https://www.ecfr.gov/current/title-8/chapter-I/subchapter-B/part-103/section-103.2,8 CFR 103.2(b)(3),Paying for translations when not needed,Translation certification template + competence statement,translate-document,2026-04-30
biometrics-no-show-no-consequence,"Missing biometrics has no consequence USCIS will reschedule",high,Optimistic community advice,Failure to appear without rescheduling can result in case denial under abandonment grounds.,https://www.uscis.gov/forms/all-forms/preparing-for-your-biometric-services-appointment,USCIS biometrics prep guide,Case denial → loss of legal status,Biometrics rescheduling guide + abandonment recovery options,biometrics,2026-04-30
